ResponseID,ExternalDataReference,wt,V2,V7,start,end,finished,gender,sex_a,SORADMIT,SORSATV,SORSATW,SORSATM,SORACT,OTHER1,OTHER2,OTHER3,intro,browser_6_TEXT,browser_4_TEXT,browser_7_TEXT,browser_1_TEXT,browser_5_TEXT,browser_3_TEXT,browser_2_TEXT,satisf,sinstql,ssoclife,soppex,sintell,soppdev,enchss,shumart,shelp,snscimat,sadvise,senginer,spremed,sresearc,ssocsci,sfacavl,major1q,major2q,major3q,ptutor,pvolus,poffcm,pabrd,ptutwork,presoth,pvolabr,pindep,psvlearn,presfac,pintus,ppaper,pintabr,spresfac,spresoth,sppaper,sptutwork,sptutor,spindep,spoffcm,spabrd,spintus,spintabr,spsvlearn,spvolus,spvolabr,majorp1,satismaj1,msqinst1,msqadv1,mshelp1,mscourse1,msintell1,mslabexp1,msdiscus1,mstutor1,msflex1,mscar1,mslocal11,majorp2,satismaj2,msqinst2,msqadv2,mshelp2,mscourse2,msintell2,mslabexp2,msdiscus2,mstutor2,msflex2,mscar2,mslocal21,majorp3,satismaj3,msqinst3,msqadv3,mshelp3,mscourse3,msintell3,mslabexp3,msdiscus3,mstutor3,msflex3,mscar3,mslocal31,ssecure,srecrsp,slivecom,sminclim,scampcom,sdiverse,sevents,pclub,pfrat,ppubs,pvolun,pcbath,pgov,partic_no,phonor,pmusic,ppolit,picath,pculet,prelig,pimath,balance,cslocal1,sscieqp,slibfac,cslocal3,sathfac,slangfac,spolice,spysch,sfood,shealth,sadmresp,shouse,cslocal2,nxschft,nxo1,nxschpt,nxba,nxempft,nxentr,nxemppt,nxund,nxact_text,nxfam,nxact,nxintern,nxtra,nxfreelance,nxmil,ngo,ngopick,ngopick_TEXT,fellow,liveinout,liveus,livenonus,showemploy,jobplans,showedu,emptype,jobdesc1,jobdesc1_TEXT,jobsect,jobsect_TEXT,startup,edplans,apund,apoth,apoth_text,apmeng,appdoc,apms,apmprof,apmfa,apphd,apmba,apmo,apma,apmed,aplaw,apphd_oth,apphd_text,apphd_sci,apphd_bio,apphd_soc,apphd_hum,apphd_eng,fallschool,fap1,fap1phd_soc,fap1und,fap1phd_hum,fap1phd_eng,fap1mba,fap1pdoc,fap1und2,fap1phd_sci,fap1phd_oth,fap1oth,fap1phd_bio,fap1ms,fap1law,fap1med,fap1mprof,fap1mo,fap1phd_soc2,fap1oth2,paradv,alumninet,alumadv,facknow,facsuccess,csworks,cssenior,csprior,csmeet4,scareer,csnetwrk,csshow,csefplan,csidemp,csacadop,cteam,crelrace,cindepth,cprepar,cquant,ccrit,cundself,cjudge,clead,cartlit,cglobal,clang,cscholar,csynth,cconflic,cethic,coral,ccprob,csciproc,cwrite,ccreate,cbroadkn,cmodtool,iphilo,ivol,imanage,iownbus,iwelloff,iproflead,irelig,iinfsoc,icreate,icommlead,iscience,ipolit,iabroad,ifamily,idiverse,iartist,itravel,iothcult,fap2,fap2phd_soc,fap2phd_oth2,fap2phd_hum,fap2phd_eng,fap2mba,fap2pdoc,fap2und2,fap2phd_sci,fap2phd_oth,fap2oth,fap2phd_bio,fap2ms,fap2law,fap2med,fap2mprof,fap2mo,fap2und,fap2oth2,needaid,pell,townloan,loanamt_text,helppay,impact,eburden,work_2,work_4,work_3,work_1,work_5,resid_2,resid_4,resid_3,resid_1,resid_5,sex_0,sex_TEXT,citizen,white,hisp,natam,hawaii,black,asian,sexornt,sexornt_TEXT,admit,startfield,vsat,wsat,msat,act,gpaovr,SCOREANY,greverb_orig,grequant_orig,grewrite_orig,lsat_orig,mcat_orig,parent1,parent2,edupar1,edupar2,paralumno,paralumu,paralumg,income,advicetxt,catchtxt,lastchance,ztp16_4,ztp16_3,ztp16_1,ztp16_2,LocationLatitude,LocationLongitude,LocationAccuracy,xmask,mask,SORSATR,scrsavl,sclub,sstdgovt,slgbt,sathopp,sclubsp,sclassrm,sfaccomp,sstdemp,firmname,jobtitle,Q146,workdesc,fchoice,nfchoice,ncost,naid,ngeo,nother,nothertext,csgener,csspec,csweb,csdb,cskills,cthink,cmoral,cindep,cproject,caware,cesteem,cscirole,lmabroad,lmextra,lmserv,lmresint,paralumc,improvetxt,outcometxt,SORRACE,prace,psexh,palch,SORSEX,Q134,Q134_TEXT,Page02_Resp,Page03_Resp,Page04_Resp,Page05_Resp,Page06_Resp,Page07_Resp,Page08_Resp,Page09_Resp,Page10_Resp,Page11_Resp,Page12_Resp,Page13_Resp,Page14_Resp,Page15_Resp,goodcase,d_ma,d_mfa,d_meng,d_ms,d_mba,d_moth,d_pdoc,d_phd,d_med,d_law,d_oth,d_und,fapms,fapmba,fapmprof,fapmo,fappdoc,fapphd,fapphd_bio,fapphd_eng,fapphd_hum,fapphd_sci,fapphd_soc,fapphd_oth,fapmed,faplaw,fapoth,fapund,admit_0,satv_0,satw_0,satm_0,soract_0,sorsex_0,edupar_hi,firstgen,loani,yhhi,q1,q2,q3,q4,q5,t5,work_yrs,work_any,resid_count,race_count,race_ipeds,inst,minorq,major1_full,major2_full,major3_full,major1,major2,major3,cip2_1,cip4_1,cip2_2,cip4_2,cip2_3,cip4_3,major1a,major2a,major3a,major1b,major2b,major3b,mbus,meng,mhum,mart,mbio,msci,msoc,moth,sex_merge,q1_d,q2_d,q3_d,q4_d,q5_d,t5_d,insttype,loan002,loani2
R_00Rn2897,0000001,1.06320284697509,Default Response Set,0,5/12/2016,5/19/2016,1,1,F, , , , , , , , ,1,1, , , , , , ,4,4,3,3,4,3,4,4,3,3,3, ,5,5,4,3,32,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2, , , , , , , , ,4, , , , ,1,5,4,3,4,4,4,5,4,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,3,3,3,3,3, ,2,2,1,2,2,2,0,0,1,2,2,1,2,2,3, ,5,3, ,3,5,3,3,3,3,3,3, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1,37, ,1,3, ,2,16, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,3,1,3,3,2,2,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,4,4,2,2,4,4, ,4,4,2,4,4,4, ,2,4,3,3,3,3,2,4,4,4,3,4,4,3,4,4,4,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1, , ,2,2,2,1,1,1,1,0,1,1,1,1,0,1, ,1,0,0,0,0,1,0,1, ,1,7, , , , ,3,2, , , , , ,1,2,1,2, , , , , , ,1, , , , , , ,-1,A2,A2, ,4,3,3,5,3,3,3,3,3, , , , , , , , , , , ,2,2,2,3,4,4,4,4,4,4,4,2,2,2,2,3,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0, , , , , ,1,2,1,2500,25,.5207,.4766,.0026,0,0, ,4,1,4,1,3,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_00v8Ce78,0000002,1.06320284697509,Default Response Set,0,5/12/2016,5/25/2016,0,1,F, , , , , , , , ,1,1, , , , , , ,5,4,2,3,4,4,3,4,4,4,4, ,5,4,4,4,18,32,1,1,1,2,1,1,1,1,1,2,1,2,2,2,4,4, ,4,4,4, ,4, , , ,4,4,1,5,4,4,4,4,4,5,4,4,4,4,4,1,5,4,4,4,4,4,5,4,4,4,4,4,1, , , , , , , , , , , , ,4,3,2,1,2,1, ,2,2,2,1,1,2,0,1,2,2,2,1,2,2,4, ,5,4, ,3,4,4,5,4,4,4,4, ,0,1,0,0,0,0,0,0, ,1,0,0,0,0,0,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,6,1,3,2,2,3,3,4,4,4,4,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,-1,A3,A3, ,4,3,3,2,3,3,4,4,4, , , , , , , , , , , ,2,2,2,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,1, , , , , , , , , , , , , , , ,A3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_01fT2ek8,0000003,1.06320284697509,Default Response Set,0,5/12/2016,5/17/2016,1,1,F, , , , , , , , ,1,0, , , , , , ,4,3,2,4,3,2,3,3,2,2,2, ,5,3,3,3,19,17,12,1,2,2,1,1,2,2,1,2,1,1,1,2,2, ,3,4,3,4, ,3,3, , , , ,1,4,3,2,2,3,3,5,3,5,3,3,3, , , , , , , , , , , , , , ,5,4,4,4,4,4,5,4,4,4,4,4,2,4,2,2,2,1, ,1,2,2,2,2,2,0,0,2,2,2,2,2,2,2, ,5,4, ,5,5,3,4,3,3,3,2, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1,4, ,1,4, ,2,11, ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,1,1,3,1,3,3,2,2,3,2,3,2,3,3,4,2,4,3,2,4,4,4,4,3,4,1,4,3,1, ,3,3,1,4,4,2, ,2,2,2,3,4,2,3,3,3,3,1,2,1,4,2,4,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, , ,2,3,2,1,1,1,1,0,1,1,1,1,0,2, ,1,0,0,0,0,1,0,1, ,2,5,670,710,700,34,3,2, , , , , ,1, ,4, , , , , , , ,1, , , , , , ,-1,A2,A2, ,3,3,3,2,4,4,3,2,3, , , , , , , , , , , ,2,2,3,3,3,4,3,3,3,3,1,3,1,1,1,4,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,1,4,1, ,75,0,0,.6208,.3792,0, ,4,1,4,1,3,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_01JCSgkjh,0000004,1.06320284697509,Default Response Set,0,5/12/2016,5/16/2016,1,1,F, , , , , , , , ,1,0, , , , , , ,4,4,2,3,3,2,5,4,3,2,3, ,5,2,3,3,19,1,1,2,2,2,1,2,1,2,1,2,2,2,2,2, ,3, , , ,3, ,4, , , , , ,1,4,4,4,4,2,3,5,3,3,2,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,2,3,3, ,1,2,2,2,1,2,0,0,1,2,1,2,2,1,2, ,5,3, ,3,3,3,5,3,5,1,3, ,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,2, , ,2,3, , ,1,4, ,2,16, ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,3,2,3,3,1,4,2,1,2,1,2,1,3,2,2,1,2,4,2,4,3,3,2,4,2,4,2, ,4,3,1,4,3,2, ,1,1,4,1,4,3,1,2,4,3,1,4,4,1,4,4,4,4,3, , , , , , , , , , , , , , , , , , ,1,1, , ,1,4,4,1,1,0,1,0,1,1,1,1,0,2, ,1,1,1,0,0,0,0,5, ,2,3,680,720,710,36,2,2, , , , , ,1,2,6,6, , , , , , ,1, , , , , , ,-1,A3,A3, ,3,3,2,2,3,1,3,3,5, , , , , , , , , , , ,1,1,1,1,2,4,4,3,3,4,2,4,1,3,2,4,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,1,2, , ,75,0,0,.6208,.3792,0, ,3,1,4,2,4,A3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_01yZmkjh,0000005,1.12660766961652,Default Response Set,0,5/12/2016,5/21/2016,1,2,M, , , , , , , , ,1,0, , , , , , ,5,4,3,3,4,3,5,4,4,4,3, ,5,2,4,4,12,37,1,1,1,2,1,1,2,2,2,2,2,1,2,1, , , ,3,3, , ,4,3,4, ,3, ,1,4,3,3,4,3,4,5,3,3,4,3,3,1,4,4,3,4,4,4,5,4,3,3,3,4, , , , , , , , , , , , , ,3,3,4,2,3,2, ,2,2,2,1,1,1,0,0,2,2,1,2,1,2,1, ,5,4, ,3,3,2,2,1,3,1,3, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1,24, ,1,1, ,3,11, ,4, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,4,1,3,1,3,1,2,3,4,4,4,2,2,4,3,3,2,4,4,4,4,4,4,4,4,4,3, ,4,4,1,4,4,4, ,2,2,1,2,3,3,2,3,4,3,2,4,4,3,4,4,4,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , ,2,3,2,1,1,1,1,0,1,1,1,1,0,1, ,1,0,1,0,0,0,0,2, ,2,7,690,730,720,0,3,2, , , , , ,1,2,5,2, , , , , , ,1, , , , , , ,-1,A2,A2, ,4,3,1,1,3,3,3,3,3, , , , , , , , , , , ,2,1,2,2,3,4,4,3,4,4,3,2,1,1,1,3,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , ,2, ,0, ,125,0,0,0,.5001,.4999, ,4,1,4,1,4,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_01Z3u9oiu,0000006,1.12660766961652,Default Response Set,0,5/12/2016,5/16/2016,1,2,M, , , , , , , , ,1,0, , , , , , ,5,4,3,3,4,4,5,3,3,3,1, ,5,3,3,4,18,33,1,2,2,2,2,1,2,2,2,2,1,1,2,2,4, , ,2, , , , ,3, , , , ,1,5,4,1,4,3,4,5,3,2,3,4,3,1,5,4,3,4,4,3,3,3,2,4,3,3, , , , , , , , , , , , , ,4,3,4,2,3,2, ,1,2,2,2,1,2,0,0,2,2,2,2,2,1,3, ,3,2, ,3,2,4,3,4,2,2,2, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1,25, ,1,1, ,2,2, ,4, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,3,1,2,1,1,3,2,1,4,2,3,2,2,3,3,3,3,4,2,4,4,3,4,3,1,3,1,2,3,4, ,3,4,4,3,3,4, ,1,2,2,2,4,2,1,1,2,1,2,1,1,4,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2, , ,3,3,1,0,1,0,0,0,1,1,1,1,0,2, ,1,1,0,0,0,0,0,1, ,1,1,700,740,730,0,2,2, , , , , ,1,2,5,5, , , , , , ,1, , , , , , ,-1,A2,A2, ,2,3,2,3,5,2,3,2,3, , , , , , , , , , , ,1,2,1,3,3,4,4,3,3,4,4,3,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0, , , , , ,2,5,0, , , , , , , , ,1,1,4,1,6,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_07DtyBibp,0000007,1.06320284697509,Default Response Set,0,5/10/2016,5/10/2016,1,1,F, , , , , , , , ,1, , , , , , , ,5,3,3,2,4,4,5,3,4,2,1, ,5,4,4,4,11,18,1,2,1,2,2,1,1,2,2,2,1,1,1,2,4,4,4,3, , , , ,4, , ,4, ,1,2,2,1,2,1,3,2,1,3,1,5,3,1,5,4,4,4,4,4,5,4,4,4,4,4, , , , , , , , , , , , , ,3,4,4,5,2,4, ,2,2,2,1,2,2,0,0,2,2,2,2,2,1,4, ,4,4, ,2,1,1,1,3,3,1,1, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1, , ,1,1, ,2,1, ,24, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2, ,6,1,3,2,2,2,1,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,4, ,4,4,4,4,4,4, ,1,4,4,3,4,4,1,4,1,4,4,4,4,4,4,1,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2, , ,1,4,3,1,1,1,0,0,1,0,1,1,0,1, ,1,1,0,0,0,0,0,1, ,1,6,710,750,740,35,3,2, , , , , ,1,2,2,5, , , , , , ,1, , , , , , ,-1,A3,A3, ,1,2,1,5,5,5,3,4,4, , , , , , , , , , , ,1,1,1,1,4,4,4,4,4,4,4,4,1,1,1,1,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1, , , , , ,1,5,0, ,550,0,0,0,0,1,1,3,1,3,1,6,A3,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_094Qzoopi,0000008,1.06320284697509,Default Response Set,0,5/12/2016,5/13/2016,1,1,F, , , , , , , , ,1,0, , , , , , ,5,3,4,3,4,2,5,3,3,4,1, ,5,2,5,4,32,1,1,1,2,2,2,1,2,2,2,2,1,2,2,2,3, , ,4,4, , , , , , , , ,1,3,3,1,4,4,3,2,3,5,3,4,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,2,2,5,3,2, ,1,2,2,2,2,2,0,0,1,2,1,2,2,1,3, ,4,3, ,4,3,4,2,4,2,2,3, ,0,0,0,1,1,0,0, , , , , , , , ,2, , ,2,1,37, ,1,1, ,3,12, ,24, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, ,4,1,1,2,1,4,5,1,4,3,2,2,3,3,4,4,3,2,4,2,1,2,2,2,3,3,1, ,3,3,3,2,2,4, ,1,2,1,1,2,3,1,1,3,1,4,1,1,3,4,2,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2, , ,3,3,1,1,1,1,0,0,1,1,1,1,0,1, ,1,1,0,0,0,0,0,4, ,1,9,720,760,750,32,2,2, , , , , ,2,1,6,6, , , , , , ,1, , , , , , ,-1,A2,A2, ,3,2,3,5,4,5,4,4,4, , , , , , , , , , , ,1,2,1,1,4,3,4,1,3,4,1,4,2,1,1, ,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0, , , , , ,1,6, , ,225,0,0,0,0,1,.7114,3,1,4,1,6,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_09zp1Opi,0000009,1.12660766961652,Default Response Set,0,5/12/2016,5/16/2016,1,2,M, , , , , , , , ,1,0, , , , , , ,5,4,4,4,4,4,5,3,3,4,2, ,5,4,3,3,30,22,1,1,1,1,1,2,1,2,2,1,1,1,2,2,4,4, , ,4, ,4,4,4, ,4,4, ,1,5,4,3,4,4,4,4,4,4,3,4,4,1,5,4,4,4,2,3,5,4,4,4,3,4, , , , , , , , , , , , , ,4,4,4,4,4,3, ,1,2,2,2,1,1,0,0,2,2,2,1,2,1,3, ,4,4, ,3,4,3,5,3, ,2,3, ,0,1,0,0,0,0,0,0, ,0,0,1,0,0,0,2, , ,2,1,30, ,1,4, ,2,16, ,21, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,1,5,1,3,3,3,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4, ,4,4,4,4,4,4, ,2,3,4,4,2,3,2,3,4,4,4,3,3,4,4,4,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2, , ,1,3,3,1,1,1,1,0,1,0,1,1,0,2, ,1,0,1,0,0,0,0,1, ,1,2,730,770,760,0,2,2, , , , , ,1,2,5,4, , , , , , ,1, , , , , , ,-1,A2,A2, ,2,4,3,3,3,4,4,4,4, , , , , , , , , , , ,3,3,3,3,4,4,4,4,4,4,4,4,2,3,2,4,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0, , , , , ,2,5,0, ,75,0,0,.6208,.3792,0, ,4,1,3,1,4,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
R_0Aly9490,0000010,1.06320284697509,Default Response Set,0,5/12/2016,5/20/2016,1,1,F, , , , , , , , ,1,0, , , , , , ,5,3,3,4,3,4,5,3,4,4,3, ,4,4,4,4,20,1,1,2,1,2,2,1,1,2,2,2,1,2,2,2,4,4, ,3, , , , , , , ,3, ,1,5,3,4,4,3,3,4,4,2,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , ,4,3,3,3,4,2, ,1,2,2,2,2,2,0,0,2,2,1,2,2,2,3, ,4,4, ,4,3,4,4,3,2,4,3, ,0,0,0,0,1,0,0, , , , , , , , ,2, , ,2,1,43, ,1,1, ,2,15, ,24, ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1,1,2,4,1,3,3,3,1,3,1,3,3,1,3,3,4,3,3,4,4,3,4,4,1,2,2,4,4,4, ,4,3,4,4,3,4, ,4,3,3,2,3,3, ,3,4,3,3,3,2,4,4,2,4,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2, , ,2,3,3,0,1,0,0,0,1,1,1,1,0,2, ,1,1,0,0,0,0,0,1, ,2,5,740,780,780, ,3,2, , , , , ,1,2,6,6, , , , , , ,1, , , , , , ,-1,A2,A2, ,3,3,2,5,3,3,4,4,4, , , , , , , , , , , ,1,2,1,1,4,3,4,4,4,4,1,4,3,3,3,4,2, , , , , , , , , , , , , , , , , , , , , , , ,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0, , , , , ,1,6,0, ,125,0,0,0,.5001,.4999, ,1,1,4,1,6,A2,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
